Armado;Entidad;Cliente.Destino;Nombre;FechaAlta;FechaFin;PCC;FechaPCC;Delivery;ID.Cliente;Estado;Observación;Ud.Pedidas;Ud.Preparadas
15488;12041;E0000001            ;ECOMMERCE PENALTY                  ;19/05/2020                    ;19/05/2020                    ;1792;19/05/2020                    ;00006207            ;1034;CAR;                                                                                                                                                                                                                                                               ;2.0;2.0
15489;12041;E0000001            ;ECOMMERCE PENALTY                  ;19/05/2020                    ;19/05/2020                    ;1792;19/05/2020                    ;00006208            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15490;12041;E0000001            ;ECOMMERCE PENALTY                  ;19/05/2020                    ;19/05/2020                    ;1792;19/05/2020                    ;00006209            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15491;12041;E0000001            ;ECOMMERCE PENALTY                  ;19/05/2020                    ;19/05/2020                    ;1792;19/05/2020                    ;00006210            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15492;10213;BAR503059           ;DAMIAN INFER                       ;19/05/2020                    ;19/05/2020                    ;1800;20/05/2020                    ;750014335           ;1032;CAR;DAMIAN INFER                                                                                                                                                                                                                                                   ;1.0;1.0
15493;10315;C100667             ;ORIEN ARGENTINA S.A.-VTAS INTE     ;19/05/2020                    ;20/05/2020                    ;1798;20/05/2020                    ;541                 ;1033;CAR;APLICA SOBRE_OCIN_341                                                                                                                                                                                                                                          ;184.0;184.0
15494;10315;C100667             ;ORIEN ARGENTINA S.A.-VTAS INTE     ;19/05/2020                    ;20/05/2020                    ;1798;20/05/2020                    ;542                 ;1033;CAR;APLICA SOBRE_OCIN_341                                                                                                                                                                                                                                          ;2608.0;2594.0
15495;10315;C100667             ;ORIEN ARGENTINA S.A.-VTAS INTE     ;19/05/2020                    ;20/05/2020                    ;1798;20/05/2020                    ;543                 ;1033;CAR;APLICA SOBRE_OCIN_341                                                                                                                                                                                                                                          ;677.0;671.0
15496;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;19/05/2020                    ;20/05/2020                    ;1799;20/05/2020                    ;7517                ;1033;CAR;Panorama Pañales                                                                                                                                                                                                                                               ;268.0;263.0
15497;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;19/05/2020                    ;20/05/2020                    ;1799;20/05/2020                    ;7518                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;1062.0;1062.0
15498;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;19/05/2020                    ;19/05/2020                    ;1799;20/05/2020                    ;7519                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;314.0;256.0
15499;11942;BAR10214            ;ATELIER                            ;19/05/2020                    ;19/05/2020                    ;1809;22/05/2020                    ;100001              ;1032;CAR;MUESTRAS PARA CERTIFICACION                                                                                                                                                                                                                                    ;5.0;5.0
15502;10314;C000007             ;ORIEN S.A. - FCIA CORDOBA          ;19/05/2020                    ;19/05/2020                    ;1797;20/05/2020                    ;7520                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;32.0;22.0
15503;10314;C000007             ;ORIEN S.A. - FCIA CORDOBA          ;19/05/2020                    ;19/05/2020                    ;1797;20/05/2020                    ;7521                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;106.0;106.0
15504;11992;08479001            ;GAEROSS SRL                        ;20/05/2020                    ;20/05/2020                    ;0;                              ;1539                ;1034;PRE;                                                                                                                                                                                                                                                               ;10.0;10.0
15505;12041;E0000001            ;ECOMMERCE PENALTY                  ;20/05/2020                    ;20/05/2020                    ;1801;21/05/2020                    ;00006212            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15506;12041;E0000001            ;ECOMMERCE PENALTY                  ;20/05/2020                    ;20/05/2020                    ;1801;21/05/2020                    ;00006213            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15507;12041;E0000001            ;ECOMMERCE PENALTY                  ;20/05/2020                    ;20/05/2020                    ;1801;21/05/2020                    ;00006214            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15508;12041;E0000001            ;ECOMMERCE PENALTY                  ;20/05/2020                    ;20/05/2020                    ;1801;21/05/2020                    ;00006216            ;1034;CAR;                                                                                                                                                                                                                                                               ;3.0;3.0
15509;12041;E0000001            ;ECOMMERCE PENALTY                  ;20/05/2020                    ;20/05/2020                    ;1801;21/05/2020                    ;00006217            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15510;10026;BAR207360           ;RITHNER, PORTEOUS Y CIA S.A.       ;20/05/2020                    ;20/05/2020                    ;1802;21/05/2020                    ;750014338           ;1032;CAR;RITHNER, PORTEOUS Y CIA S.A.                                                                                                                                                                                                                                   ;913.0;913.0
15512;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;20/05/2020                    ;20/05/2020                    ;1799;20/05/2020                    ;7519                ;1033;CAR;REPROCESO
                                                                                                                                                                                                                                                    ;58.0;43.0
15513;10316;C000003             ;FARMACIA PERLES S.A.               ;20/05/2020                    ;21/05/2020                    ;1804;21/05/2020                    ;7522                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;114.0;114.0
15514;10316;C000003             ;FARMACIA PERLES S.A.               ;20/05/2020                    ;21/05/2020                    ;1804;21/05/2020                    ;7523                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;205.0;205.0
15515;10336;C000006             ;ORIEN S.A. - FCIA DAFLO            ;20/05/2020                    ;21/05/2020                    ;1805;21/05/2020                    ;7524                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;184.0;181.0
15516;10336;C000006             ;ORIEN S.A. - FCIA DAFLO            ;20/05/2020                    ;21/05/2020                    ;1805;21/05/2020                    ;7525                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;107.0;104.0
15517;10317;C000004             ;ORIEN S.A. - FCIA ORIEN            ;20/05/2020                    ;21/05/2020                    ;1807;21/05/2020                    ;7526                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;155.0;143.0
15518;10317;C000004             ;ORIEN S.A. - FCIA ORIEN            ;20/05/2020                    ;21/05/2020                    ;1807;21/05/2020                    ;7527                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;288.0;287.0
15519;10317;C000004             ;ORIEN S.A. - FCIA ORIEN            ;20/05/2020                    ;21/05/2020                    ;1807;21/05/2020                    ;7528                ;1033;CAR;Panorama Pañales                                                                                                                                                                                                                                               ;92.0;92.0
15520;10325;BAR207697           ;VOSE PABLO MARTIN                  ;20/05/2020                    ;20/05/2020                    ;1855;04/06/2020                    ;750014336           ;1032;CAR;VOSE PABLO MARTIN                                                                                                                                                                                                                                              ;41.0;41.0
15521;10286;BAR207695           ;SERVICIOS INTEGRALES LOGI          ;20/05/2020                    ;20/05/2020                    ;1830;28/05/2020                    ;750014337           ;1032;CAR;SERVICIOS INTEGRALES LOGISTICOS SA                                                                                                                                                                                                                             ;4.0;4.0
15522;10247;BAR207685           ;AVANTECNO S A                      ;20/05/2020                    ;21/05/2020                    ;1809;22/05/2020                    ;750014339           ;1032;CAR;AVANTECNO S A                                                                                                                                                                                                                                                  ;20.0;20.0
15523;10064;BAR207513           ;STENFAR S.A. INDUSTRIAL COMERC     ;20/05/2020                    ;21/05/2020                    ;1809;22/05/2020                    ;750014340           ;1032;CAR;STENFAR S.A. INDUSTRIAL COMERCIAL                                                                                                                                                                                                                              ;814.0;814.0
15524;10321;C100705             ;TORCUATO VITAL S C S               ;21/05/2020                    ;22/05/2020                    ;1811;22/05/2020                    ;7529                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;162.0;162.0
15525;10321;C100705             ;TORCUATO VITAL S C S               ;21/05/2020                    ;22/05/2020                    ;1811;22/05/2020                    ;7530                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;56.0;52.0
15526;10321;C100705             ;TORCUATO VITAL S C S               ;21/05/2020                    ;22/05/2020                    ;1811;22/05/2020                    ;7531                ;1033;CAR;Panorama Pañales                                                                                                                                                                                                                                               ;15.0;15.0
15527;10320;C100696             ;FARMAPOINT S.C.S                   ;21/05/2020                    ;22/05/2020                    ;1812;22/05/2020                    ;7532                ;1033;CAR;Panorama Pañales                                                                                                                                                                                                                                               ;22.0;19.0
15528;10320;C100696             ;FARMAPOINT S.C.S                   ;21/05/2020                    ;22/05/2020                    ;1812;22/05/2020                    ;7533                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;274.0;267.0
15529;10320;C100696             ;FARMAPOINT S.C.S                   ;21/05/2020                    ;22/05/2020                    ;1812;22/05/2020                    ;7534                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;151.0;147.0
15530;10027;BAR207372           ;PETRUZZI ALFREDO ALBERTO           ;21/05/2020                    ;21/05/2020                    ;1816;26/05/2020                    ;700015892           ;1032;CAR;ALFREDO PETRUZZI                                                                                                                                                                                                                                               ;1.0;1.0
15531;10055;BAR207501           ;I M D S.R.L.                       ;21/05/2020                    ;21/05/2020                    ;1816;26/05/2020                    ;700015902           ;1032;CAR;IMD SRL                                                                                                                                                                                                                                                        ;1.0;1.0
15532;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006220            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15533;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006221            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15534;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006222            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15535;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006223            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15536;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006224            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15537;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006225            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15538;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006226            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15539;12041;E0000001            ;ECOMMERCE PENALTY                  ;21/05/2020                    ;21/05/2020                    ;1803;21/05/2020                    ;00006228            ;1034;CAR;                                                                                                                                                                                                                                                               ;1.0;1.0
15540;10322;C100708             ;ALFARO SOCIEDAD EN COMANDITA S     ;21/05/2020                    ;22/05/2020                    ;1813;22/05/2020                    ;7536                ;1033;CAR;Panorama Pañales                                                                                                                                                                                                                                               ;5.0;5.0
15541;10322;C100708             ;ALFARO SOCIEDAD EN COMANDITA S     ;21/05/2020                    ;22/05/2020                    ;1813;22/05/2020                    ;7537                ;1033;CAR;Panorama Filos y Dermocosmética                                                                                                                                                                                                                                ;110.0;107.0
15542;10322;C100708             ;ALFARO SOCIEDAD EN COMANDITA S     ;21/05/2020                    ;22/05/2020                    ;1813;22/05/2020                    ;7538                ;1033;CAR;Panorama Varios                                                                                                                                                                                                                                                ;185.0;185.0
