Armado;Entidad;Cliente.Destino;Nombre;FechaAlta;FechaFin;PCC;FechaPCC;Delivery;ID.Cliente;Estado;Observación;Ud.Pedidas;Ud.Preparadas
10025;10269;BAR5030959          ;ARANDA LIDIA                       ;2019/09/05 00:00:00.000;2019/09/06 10:05:30.000;1004;2019/09/09 00:00:00.000;750013244           ;1032;CAR;ARANDA LIDIA                                                                                                                                                                                                                                                   ;1.0;1.0
10027;10303;BAR207690           ;ARG COLOR S.R.L.                   ;2019/09/05 00:00:00.000;2019/09/06 13:14:25.000;1004;2019/09/09 00:00:00.000;750013247           ;1032;CAR;ARG COLOR S.R.L.                                                                                                                                                                                                                                               ;9.0;9.0
10029;10247;BAR207685           ;AVANTECNO S A                      ;2019/09/05 00:00:00.000;2019/09/06 13:23:39.000;1004;2019/09/09 00:00:00.000;750013249           ;1032;CAR;AVANTECNO S A                                                                                                                                                                                                                                                  ;5.0;5.0
10032;10139;BAR207599           ;RELET SRL                          ;2019/09/06 00:00:00.000;2019/09/09 08:25:02.000;1004;2019/09/09 00:00:00.000;750013255           ;1032;CAR;RELET SRL                                                                                                                                                                                                                                                      ;3.0;3.0
10034;10124;BAR207584           ;ELECTRO UNIVERSO - PLIN METAL      ;2019/09/06 00:00:00.000;2019/09/09 08:39:05.000;1004;2019/09/09 00:00:00.000;750013257           ;1032;CAR;ELECTRO UNIVERSO - PLIN METAL S.A.                                                                                                                                                                                                                             ;25.0;25.0
10036;10031;BAR207410           ;MAPLIT S.A.                        ;2019/09/09 00:00:00.000;2019/09/09 13:17:42.000;1005;2019/09/10 00:00:00.000;750013259           ;1032;CAR;MAPLIT S.A.                                                                                                                                                                                                                                                    ;19.0;19.0
10038;10080;BAR207533           ;TECNO DIGITAL INSUMOS DE ALVAR     ;2019/09/09 00:00:00.000;2019/09/09 13:36:15.000;1010;2019/09/12 00:00:00.000;500002              ;1032;CAR;TECNO DIGITAL INSUMOS                                                                                                                                                                                                                                          ;1.0;1.0
10042;10144;BAR207604           ;VIDITEC S.A.                       ;2019/09/11 00:00:00.000;2019/09/11 14:33:43.000;1006;2019/09/12 00:00:00.000;750013273           ;1032;CAR;VIDITEC S.A.                                                                                                                                                                                                                                                   ;475.0;475.0
10045;10025;BAR207349           ;GRUPO NUCLEO S.A                   ;2019/09/11 00:00:00.000;2019/09/11 16:19:26.000;1011;2019/09/12 00:00:00.000;750013277           ;1032;CAR;GRUPO NUCLEO S.A                                                                                                                                                                                                                                               ;310.0;310.0
10047;10144;BAR207604           ;VIDITEC S.A.                       ;2019/09/11 00:00:00.000;2019/09/11 15:08:24.000;1013;2019/09/12 00:00:00.000;750013279           ;1032;CAR;VIDITEC S.A.                                                                                                                                                                                                                                                   ;125.0;125.0
10049;10304;BAR503097           ;LUCIANA RODRIGUEZ                  ;2019/09/11 00:00:00.000;2019/09/11 15:51:17.000;1015;2019/09/12 00:00:00.000;750013276           ;1032;CAR;LUCIANA RODRIGUEZ                                                                                                                                                                                                                                              ;1.0;1.0
10051;10219;BAR615076           ;AIR COMPUTERS S.R.L.               ;2019/09/12 00:00:00.000;2019/09/12 13:41:14.000;1017;2019/09/12 00:00:00.000;750013284           ;1032;CAR;AIR COMPUTERS S.R.L.                                                                                                                                                                                                                                           ;2239.0;2239.0
10053;10214;BAR503090           ;ATELIER BROTHER                    ;2019/09/12 00:00:00.000;2019/09/12 11:44:31.000;1016;2019/09/12 00:00:00.000;300004              ;1032;CAR;ATELIER - BAJA AR 13                                                                                                                                                                                                                                           ;20.0;20.0
10055;10026;BAR207360           ;RITHNER, PORTEOUS Y CIA S.A.       ;2019/09/12 00:00:00.000;2019/09/12 14:20:59.000;1019;2019/09/12 00:00:00.000;750013286           ;1032;CAR;RITHNER, PORTEOUS Y CIA S.A.                                                                                                                                                                                                                                   ;226.0;226.0
10057;10026;BAR207360           ;RITHNER, PORTEOUS Y CIA S.A.       ;2019/09/12 00:00:00.000;2019/09/12 13:38:31.000;1019;2019/09/12 00:00:00.000;750013288           ;1032;CAR;RITHNER, PORTEOUS Y CIA S.A.                                                                                                                                                                                                                                   ;250.0;250.0
10059;10026;BAR207360           ;RITHNER, PORTEOUS Y CIA S.A.       ;2019/09/12 00:00:00.000;2019/09/12 14:38:38.000;1019;2019/09/12 00:00:00.000;750013290           ;1032;CAR;RITHNER, PORTEOUS Y CIA S.A.                                                                                                                                                                                                                                   ;240.0;240.0
10061;10246;BAR207684           ;ARTECOLOR S R L                    ;2019/09/12 00:00:00.000;2019/09/12 16:49:16.000;1027;2019/09/13 00:00:00.000;750013292           ;1032;CAR;ARTECOLOR S R L                                                                                                                                                                                                                                                ;583.0;583.0
10063;10002;BAR100048           ;COMPUMUNDO S.A.                    ;2019/09/12 00:00:00.000;2019/09/12 15:25:30.000;1022;2019/09/12 00:00:00.000;500005              ;1032;CAR;COMPUMUNDO SA                                                                                                                                                                                                                                                  ;1.0;1.0
10065;10055;BAR207501           ;I M D S.R.L.                       ;2019/09/12 00:00:00.000;2019/09/12 15:31:38.000;1023;2019/09/12 00:00:00.000;500007              ;1032;CAR;IMD SRL                                                                                                                                                                                                                                                        ;1.0;1.0
10067;10115;BAR207574           ;SISTEMAS JUNIN SRL                 ;2019/09/12 00:00:00.000;2019/09/12 15:34:18.000;1025;2019/09/12 00:00:00.000;500009              ;1032;CAR;SISTEMAS JUNIN SRL                                                                                                                                                                                                                                             ;1.0;1.0
10069;10033;BAR207425           ;FREE S.A.                          ;2019/09/13 00:00:00.000;2019/09/13 13:57:45.000;1036;2019/09/17 00:00:00.000;750013301           ;1032;CAR;FREE S.A.                                                                                                                                                                                                                                                      ;635.0;635.0
10071;10189;BAR207659           ;AMX Argentina SA                   ;2019/09/13 00:00:00.000;2019/09/13 10:09:28.000;1031;2019/09/13 00:00:00.000;750013303           ;1032;CAR;AMX ARGENTINA SA                                                                                                                                                                                                                                               ;100.0;100.0
10073;10139;BAR207599           ;RELET SRL                          ;2019/09/13 00:00:00.000;2019/09/13 10:28:31.000;1028;2019/09/13 00:00:00.000;750013305           ;1032;CAR;RELET SRL                                                                                                                                                                                                                                                      ;50.0;50.0
10075;10139;BAR207599           ;RELET SRL                          ;2019/09/13 00:00:00.000;2019/09/13 11:37:07.000;1028;2019/09/13 00:00:00.000;750013307           ;1032;CAR;RELET SRL                                                                                                                                                                                                                                                      ;1716.0;1716.0
10077;10144;BAR207604           ;VIDITEC S.A.                       ;2019/09/16 00:00:00.000;2019/09/16 10:44:12.000;1034;2019/09/17 00:00:00.000;750013309           ;1032;CAR;VIDITEC S.A.                                                                                                                                                                                                                                                   ;353.0;353.0
